ActivityID,DealID,RepID,ActivityDateKey,ActivityType,DurationMinutes,ProductCategory
1,10001,112,20240214,Email,6,Analytics
2,10001,112,20240215,Email,12,Analytics
3,10001,112,20240216,Call,21,Analytics
4,10001,112,20240219,Workshop,147,Analytics
5,10001,112,20240220,Call,39,Analytics
6,10001,112,20240221,Demo,107,Analytics
7,10001,112,20240222,Email,11,Analytics
8,10001,112,20240223,Demo,117,Analytics
9,10001,112,20240226,Call,18,Analytics
10,10001,112,20240305,Email,5,Analytics
11,10001,112,20240306,Email,13,Analytics
12,10001,112,20240307,Call,20,Analytics
13,10001,112,20240308,Workshop,174,Analytics
14,10001,112,20240311,Call,35,Analytics
15,10001,112,20240312,Email,15,Analytics
16,10001,112,20240313,Meeting,52,Analytics
17,10001,112,20240314,Email,11,Analytics
18,10001,112,20240315,Email,6,Analytics
19,10002,127,20240126,Email,12,BI Reporting
20,10002,127,20240129,Call,27,BI Reporting
21,10002,127,20240130,Meeting,46,BI Reporting
22,10003,155,20240125,Email,15,Security
23,10003,155,20240212,Email,6,Security
24,10003,155,20240214,Email,15,Security
25,10003,155,20240325,Email,9,Security
26,10004,151,20240111,Email,14,Analytics
27,10004,151,20240112,Meeting,80,Analytics
28,10004,151,20240112,Email,13,Analytics
29,10004,151,20240116,Meeting,32,Analytics
30,10004,151,20240117,Email,10,Analytics
31,10004,151,20240118,Email,7,Analytics
32,10004,151,20240119,Demo,73,Analytics
33,10004,151,20240119,Meeting,81,Analytics
34,10004,151,20240119,Meeting,68,Analytics
35,10004,151,20240119,Meeting,79,Analytics
36,10004,151,20240123,Email,5,Analytics
37,10004,151,20240123,Call,42,Analytics
38,10004,151,20240124,Call,42,Analytics
39,10004,114,20240124,Workshop,175,Analytics
40,10004,114,20240124,Demo,106,Analytics
41,10005,112,20240110,Call,28,BI Reporting
42,10005,112,20240111,Meeting,68,BI Reporting
43,10005,112,20240115,Meeting,50,BI Reporting
44,10005,112,20240116,Email,14,BI Reporting
45,10005,112,20240116,Meeting,88,BI Reporting
46,10005,112,20240116,Email,12,BI Reporting
47,10005,112,20240118,Call,34,BI Reporting
48,10005,143,20240118,Workshop,143,BI Reporting
49,10005,112,20240119,Workshop,149,BI Reporting
50,10005,143,20240122,Demo,73,BI Reporting
51,10005,112,20240122,Email,7,BI Reporting
52,10005,112,20240122,Call,45,BI Reporting
53,10005,112,20240123,Call,23,BI Reporting
54,10005,112,20240123,Email,8,BI Reporting
55,10005,112,20240124,Call,30,BI Reporting
56,10005,112,20240125,Email,5,BI Reporting
57,10005,112,20240125,Meeting,42,BI Reporting
58,10005,112,20240125,Demo,100,BI Reporting
59,10005,112,20240126,Email,14,BI Reporting
60,10005,112,20240126,Meeting,35,BI Reporting
61,10005,112,20240126,Call,33,BI Reporting
62,10006,113,20240109,Email,5,HR Tech
63,10006,142,20240109,Workshop,143,HR Tech
64,10006,113,20240109,Meeting,85,HR Tech
65,10006,113,20240109,Call,22,HR Tech
66,10006,118,20240109,Demo,88,HR Tech
67,10006,113,20240109,Call,23,HR Tech
68,10006,113,20240109,Call,38,HR Tech
69,10006,113,20240109,Meeting,72,HR Tech
70,10006,113,20240109,Email,8,HR Tech
71,10006,113,20240109,Email,12,HR Tech
72,10006,113,20240109,Meeting,45,HR Tech
73,10006,113,20240109,Email,13,HR Tech
74,10006,113,20240109,Email,5,HR Tech
75,10007,142,20240202,Workshop,179,Analytics
76,10007,141,20240205,Email,11,Analytics
77,10007,141,20240206,Email,7,Analytics
78,10007,141,20240207,Email,5,Analytics
79,10007,141,20240208,Meeting,58,Analytics
80,10007,141,20240222,Meeting,43,Analytics
81,10007,141,20240223,Meeting,46,Analytics
82,10007,141,20240226,Meeting,59,Analytics
83,10007,141,20240227,Email,13,Analytics
84,10007,141,20240228,Email,12,Analytics
85,10008,101,20240105,Email,11,BI Reporting
86,10008,101,20240110,Meeting,85,BI Reporting
87,10008,101,20240111,Meeting,49,BI Reporting
88,10009,125,20240109,Email,5,Analytics
89,10009,125,20240110,Call,18,Analytics
90,10009,125,20240111,Call,24,Analytics
91,10009,125,20240112,Call,32,Analytics
92,10009,125,20240115,Call,36,Analytics
93,10009,125,20240116,Email,10,Analytics
94,10009,125,20240117,Call,30,Analytics
95,10009,125,20240202,Email,13,Analytics
96,10009,125,20240205,Call,38,Analytics
97,10009,125,20240206,Call,43,Analytics
98,10009,142,20240207,Demo,117,Analytics
99,10009,125,20240208,Email,11,Analytics
100,10009,125,20240209,Call,15,Analytics
101,10010,141,20240129,Call,31,Security
102,10010,141,20240130,Call,17,Security
103,10010,141,20240131,Meeting,42,Security
104,10010,141,20240131,Meeting,58,Security
105,10010,141,20240201,Email,7,Security
106,10010,141,20240201,Workshop,195,Security
107,10010,141,20240202,Meeting,77,Security
108,10010,141,20240202,Email,8,Security
109,10010,141,20240205,Call,31,Security
110,10010,141,20240205,Email,5,Security
111,10010,141,20240206,Email,9,Security
112,10010,141,20240207,Email,10,Security
113,10010,141,20240306,Meeting,30,Security
114,10010,141,20240307,Email,15,Security
115,10010,152,20240308,Demo,93,Security
116,10010,141,20240311,Call,40,Security
117,10010,141,20240312,Email,8,Security
118,10010,141,20240523,Meeting,47,Security
119,10010,141,20240524,Demo,101,Security
120,10010,141,20240527,Email,6,Security
121,10010,141,20240528,Call,27,Security
122,10010,141,20240529,Meeting,48,Security
123,10011,154,20240109,Meeting,32,HR Tech
124,10011,154,20240110,Email,7,HR Tech
