DealID,CompanyID,RepID,CreatedDateKey,LastActivityDateKey,ProductCategory,StageName,StageOrder,Status,DealValueEUR,BaseWinProbability,AdjustedWinProbability
10001,1505,112,20240131,20240508,Analytics,Contracting,7,Won,36537,0.27,0.55
10002,1495,127,20240125,20240130,BI Reporting,Prospecting,1,Lost,3324,0.29,0.02
10003,1661,155,20240111,20240328,Security,Qualification,2,Lost,32314,0.18,0.02
10004,1545,151,20240111,20240125,Analytics,Contracting,7,Won,42357,0.36,0.66
10005,1695,112,20240110,20240129,BI Reporting,Contracting,7,Won,47968,0.14,0.49
10006,1641,113,20240109,20240109,HR Tech,Negotiation,6,Open,27305,0.33,0.08
10007,1969,141,20240131,20240305,Analytics,Demo,4,Lost,71954,0.05,0.17
10008,1327,101,20240104,20240118,BI Reporting,Prospecting,1,Lost,10708,0.35,0.02
10009,1168,125,20240105,20240215,Analytics,Negotiation,6,Lost,4074,0.35,0.42
10010,1443,141,20240119,20240610,Security,Contracting,7,Won,1774,0.29,0.64
10011,1883,154,20240102,20240208,HR Tech,Contracting,7,Won,62441,0.05,0.45
10012,1704,131,20240109,20240222,BI Reporting,Discovery,3,Lost,73907,0.3,0.02
10013,1199,109,20240116,20240215,CRM,Qualification,2,Lost,7249,0.19,0.02
10014,1219,111,20240118,20240206,Security,Demo,4,Lost,5110,0.22,0.27
10015,1328,113,20240112,20240125,BI Reporting,Discovery,3,Lost,20462,0.41,0.02
10016,1702,106,20240111,20240507,Security,Qualification,2,Open,59945,0.3,0.02
10017,1585,110,20240112,20240209,Analytics,Contracting,7,Won,41218,0.29,0.59
10018,1197,109,20240131,20240206,HR Tech,Prospecting,1,Lost,7437,0.26,0.02
10019,1873,109,20240123,20240227,Analytics,Negotiation,6,Open,79985,0.05,0.09
10020,1161,133,20240131,20240209,Security,Prospecting,1,Lost,21923,0.34,0.02
10021,1670,125,20240105,20240509,BI Reporting,Contracting,7,Won,42322,0.11,0.45
10022,1744,141,20240131,20240320,Security,Proposal,5,Open,17494,0.14,0.07
10023,1270,154,20240108,20240111,HR Tech,Prospecting,1,Lost,7835,0.16,0.02
10024,1380,113,20240125,20240214,Analytics,Prospecting,1,Lost,15034,0.44,0.02
10025,1745,115,20240130,20240301,Security,Proposal,5,Open,74344,0.33,0.04
10026,1323,138,20240123,20240206,HR Tech,Qualification,2,Lost,3523,0.15,0.02
10027,1577,122,20240104,20240124,HR Tech,Prospecting,1,Lost,42336,0.21,0.02
10028,1781,101,20240116,20240219,HR Tech,Qualification,2,Lost,18624,0.28,0.02
10029,1419,155,20240111,20240123,Security,Proposal,5,Lost,13580,0.19,0.34
10030,1144,147,20240126,20240311,HR Tech,Prospecting,1,Lost,7492,0.32,0.02
10031,1839,101,20240129,20240430,Analytics,Discovery,3,Open,87342,0.14,0.02
10032,1734,133,20240104,20240206,Security,Demo,4,Open,39319,0.34,0.06
10033,1383,150,20240130,20240202,CRM,Contracting,7,Won,8273,0.35,0.7
10034,1810,122,20240116,20240312,HR Tech,Negotiation,6,Open,102688,0.15,0.05
10035,1574,128,20240118,20240219,Analytics,Prospecting,1,Lost,29088,0.27,0.02
10036,1516,130,20240118,20240430,HR Tech,Contracting,7,Won,18977,0.07,0.45
10037,1077,106,20240130,20240202,Analytics,Qualification,2,Lost,10256,0.48,0.21
10038,1741,115,20240130,20240215,HR Tech,Qualification,2,Lost,67268,0.3,0.02
10039,1482,129,20240125,20240129,CRM,Prospecting,1,Lost,13803,0.26,0.02
10040,1705,121,20240119,20240220,HR Tech,Qualification,2,Lost,18186,0.14,0.02
10041,1622,112,20241128,20260202,BI Reporting,Prospecting,1,Open,39577,0.19,0.02
10042,1104,103,20240111,20240111,CRM,Discovery,3,Open,16229,0.38,0.03
10043,1551,112,20240112,20240112,Security,Contracting,7,Won,43712,0.28,0.63
10044,1292,154,20240105,20240111,CRM,Demo,4,Lost,4865,0.23,0.45
10045,1902,107,20240115,20240318,CRM,Contracting,7,Won,185077,0.26,0.45
10046,1751,141,20240104,20240528,HR Tech,Qualification,2,Open,14973,0.21,0.02
10047,1155,151,20240105,20240313,BI Reporting,Contracting,7,Open,14792,0.47,0.07
10048,1205,129,20240104,20240214,BI Reporting,Proposal,5,Lost,4441,0.39,0.36
10049,1252,124,20240116,20240124,Security,Prospecting,1,Lost,12383,0.29,0.02
10050,1782,128,20240126,20240308,Security,Contracting,7,Won,49801,0.11,0.46
10051,1299,150,20240110,20240125,CRM,Prospecting,1,Lost,5301,0.36,0.02
10052,1789,141,20240105,20240126,CRM,Qualification,2,Open,20287,0.15,0.02
10053,1874,155,20240126,20240418,Security,Contracting,7,Won,118437,0.07,0.45
10054,1906,138,20240117,20240312,Analytics,Prospecting,1,Lost,52067,0.05,0.02
10055,1480,115,20240108,20240110,Analytics,Demo,4,Open,20099,0.38,0.05
10056,1342,119,20240116,20240124,Analytics,Prospecting,1,Open,14102,0.27,0.02
10057,1266,135,20240118,20240207,Security,Demo,4,Lost,5944,0.16,0.33
10058,1956,138,20240126,20240320,CRM,Prospecting,1,Lost,49192,0.13,0.02
10059,1658,106,20240102,20240304,HR Tech,Qualification,2,Lost,48005,0.36,0.09
10060,1826,121,20240115,20240424,HR Tech,Contracting,7,Won,43147,0.08,0.45
10061,1542,150,20240103,20240109,CRM,Discovery,3,Lost,48571,0.18,0.02
10062,1017,119,20240126,20240503,BI Reporting,Contracting,7,Won,10163,0.32,0.67
10063,1983,103,20240125,20240311,BI Reporting,Qualification,2,Lost,185739,0.29,0.02
10064,1552,147,20240110,20240115,HR Tech,Qualification,2,Lost,33523,0.18,0.02
10065,1342,129,20240118,20240131,CRM,Qualification,2,Lost,4237,0.37,0.1
10066,1095,129,20240119,20240129,BI Reporting,Qualification,2,Lost,4840,0.32,0.05
10067,1163,128,20240116,20240223,BI Reporting,Demo,4,Open,4437,0.3,0.05
10068,1945,129,20240117,20240208,HR Tech,Contracting,7,Won,139958,0.09,0.45
10069,1196,131,20240131,20240321,CRM,Contracting,7,Won,19121,0.45,0.75
10070,1284,150,20240108,20240614,HR Tech,Contracting,7,Won,10393,0.33,0.45
10071,1902,153,20240124,20240201,Analytics,Prospecting,1,Lost,145254,0.08,0.02
10072,1075,115,20240131,20240207,Analytics,Prospecting,1,Lost,23848,0.41,0.14
10073,1465,115,20240129,20240417,BI Reporting,Contracting,7,Won,19168,0.45,0.75
10074,1022,153,20240126,20240220,HR Tech,Discovery,3,Lost,12416,0.31,0.04
10075,1007,113,20240111,20240220,BI Reporting,Contracting,7,Won,17777,0.52,0.62
10076,1009,101,20240105,20240111,Analytics,Demo,4,Open,8281,0.32,0.09
10077,1155,122,20240118,20240319,Security,Demo,4,Open,6651,0.39,0.02
10078,1691,129,20240102,20240216,Security,Prospecting,1,Lost,49889,0.11,0.02
10079,1670,124,20240125,20240314,Analytics,Prospecting,1,Lost,38242,0.17,0.02
10080,1902,153,20240122,20240304,BI Reporting,Qualification,2,Lost,80002,0.18,0.02
10081,1792,110,20240116,20240229,Analytics,Contracting,7,Won,33509,0.43,0.78
10082,1186,113,20240108,20240110,CRM,Prospecting,1,Open,5859,0.55,0.07
10083,1617,128,20240115,20240220,CRM,Prospecting,1,Lost,23344,0.22,0.02
10084,1357,128,20240111,20240322,CRM,Contracting,7,Won,8365,0.32,0.45
10085,1323,151,20240123,20240226,Analytics,Prospecting,1,Lost,11842,0.37,0.1
10086,1311,110,20240131,20240424,Analytics,Negotiation,6,Open,18902,0.32,0.1
10087,1239,112,20240122,20240202,Analytics,Demo,4,Lost,8821,0.32,0.36
10088,1141,101,20241115,20260123,HR Tech,Prospecting,1,Open,5017,0.29,0.02
10089,1971,150,20240129,20240220,HR Tech,Contracting,7,Won,63332,0.21,0.45
10090,1889,124,20240115,20240206,Analytics,Prospecting,1,Lost,109861,0.17,0.02
10091,1458,103,20240108,20240206,HR Tech,Demo,4,Open,18080,0.44,0.07
10092,1211,110,20251003,20260226,HR Tech,Demo,4,Open,24340,0.45,0.67
10093,1128,150,20240103,20240115,CRM,Prospecting,1,Lost,5868,0.36,0.09
10094,1936,127,20240129,20240223,BI Reporting,Qualification,2,Lost,73849,0.05,0.02
10095,1167,106,20240708,20260218,Analytics,Qualification,2,Open,8943,0.48,0.09
10096,1501,155,20240115,20240527,BI Reporting,Discovery,3,Open,38487,0.21,0.02
10097,1325,138,20240124,20240314,HR Tech,Discovery,3,Lost,2564,0.29,0.02
10098,1093,110,20240105,20240305,BI Reporting,Contracting,7,Won,16791,0.37,0.72
10099,1262,125,20240112,20240130,BI Reporting,Contracting,7,Won,4834,0.36,0.71
10100,1468,155,20240126,20240320,CRM,Demo,4,Open,3118,0.36,0.1
10101,1823,121,20240123,20240215,HR Tech,Prospecting,1,Lost,66234,0.05,0.02
10102,1879,155,20240130,20240202,CRM,Qualification,2,Lost,106488,0.14,0.02
10103,1969,119,20240110,20240207,Security,Prospecting,1,Lost,68559,0.18,0.02
10104,1969,122,20240123,20240206,Security,Proposal,5,Lost,90062,0.14,0.18
10105,1087,135,20240115,20240611,HR Tech,Contracting,7,Won,4861,0.32,0.49
10106,1975,101,20240118,20240311,Security,Negotiation,6,Open,144850,0.11,0.02
